实例ID,最优目标值（Project Total Cost）,最优工作包划分
j201_1,1057.4391253617712,"I1:[1]; A1:[2,3,4,5,6,7,8,9,11,20,21]; I10:[10]; I16:[16]; A2:[12,13,15,17]; A3:[14,18,19]; I22:[22]"
j201_2,965.6382007755865,"I1:[1]; I19:[19]; I2:[2]; A2:[6,7,8,9,13,14,17,18,20,21]; A1:[3,4,5,10,11,12,15,16]; I22:[22]"
j201_3,1340.984237445305,"I1:[1]; A1:[2,3,5,9,11,15]; I8:[8]; A2:[4,6,7,10,12]; I17:[17]; A3:[13,14,16,18,19,20,21]; I22:[22]"
j201_4,1115.0032713779947,"I1:[1]; A1:[2,3,4,5,6,7,11,16,19,21]; I18:[18]; I10:[10]; A2:[8,9,13,14,15,17,20]; A3:[12]; I22:[22]"
j201_5,1160.0768707414986,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,13,15,21]; I16:[16]; A2:[12,14,17,19,20]; I18:[18]; I22:[22]"
j201_6,1105.1426073798073,"I1:[1]; I7:[7]; I4:[4]; A1:[2,3,5,8,9,10,11,12,18,19,20,21]; A2:[6,13,14,15,16,17]; I22:[22]"
j201_7,1025.8360238960706,"I1:[1]; A1:[2,3,9,11,12,13,14,15,16,17,19,20,21]; I18:[18]; I8:[8]; A2:[4,5,6,7,10]; I22:[22]"
j201_8,1005.591816111779,"I1:[1]; A2:[3]; I4:[4]; I5:[5]; A1:[2,8,9,10,13,14,20]; A3:[6,7,11,12,15,16,17,18,19,21]; I22:[22]"
j201_9,972.9992068284926,"I1:[1]; I3:[3]; A1:[2,4,5,7,8,9,21]; I14:[14]; A2:[6,10,11,12,13,15,16,17,18,19,20]; I22:[22]"
j201_10,1193.9899743664578,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20]; I17:[17]; I21:[21]; I22:[22]"
j202_1,1075.6460926211307,"I1:[1]; I4:[4]; A1:[2,3,5,9]; A2:[6,7,8,10,11,12,13,14,15,16,18,19,20,21]; I17:[17]; I22:[22]"
j202_2,1039.1560602073714,"I1:[1]; A1:[2,3,4,5,6,8,13,15,21]; I7:[7]; I10:[10]; A2:[9,11,12,14,16,17,18,19,20]; I22:[22]"
