Instance,claim inactive tasks,Inactive tasks,Inactive indicator, The number of successors, Successors
j200101_1.sm,4,4,1 0 0 13 2 3 4 5 6 14 15 16 17 18 19 20 21,0 16 10 3 13 9 8,0 3 3 2 12 9,0 18 9 2 11 7,0 14 7 2 8 7,0 12 8 1 10,0 8 4 1 22,0 3 2 1 22,0 1 1 1 22,0 9 6 1 22,0 8 5 1 22,0 12 6 1 22,0 8 5 1 22,0 6 3 1 22,1 11 9 1 22,0 2 2 1 22,1 5 3 1 22,0 13 8 1 22,0 12 6 1 22,0 2 1 1 22,0 2 2 1 22,1 0 0 0
j200101_2.sm,4,4,1 0 0 6 2 3 4 5 6 7,0 8 7 11 20 18 17 16 15 14 13 12 11 9 8,0 9 8 11 21 20 17 16 15 14 13 12 10 9 8,0 9 5 11 20 19 18 15 14 13 12 11 10 9 8,0 14 8 11 21 19 18 17 15 14 13 11 10 9 8,1 3 2 10 18 16 15 14 13 12 11 10 9 8,0 2 1 8 19 17 16 12 11 10 9 8,0 4 2 1 22,0 11 6 1 22,0 9 7 1 22,0 14 8 1 22,0 11 9 1 22,0 9 8 1 22,0 4 3 1 22,0 4 2 1 22,0 1 1 1 22,0 12 7 1 22,0 11 9 1 22,1 18 10 1 22,0 10 5 1 22,0 11 7 1 22,1 0 0 0
j200101_3.sm,4,4,1 0 0 14 2 3 4 5 6 7 8 9 10 17 18 19 20 21,0 2 2 3 16 14 11,0 12 6 2 15 13,0 8 6 1 11,0 15 9 1 11,0 4 2 1 14,0 12 9 1 13,0 9 5 1 12,0 2 1 1 12,0 8 6 1 11,0 11 6 1 22,0 3 2 1 22,0 8 5 1 22,0 5 5 1 22,0 9 7 1 22,0 3 3 1 22,1 10 5 1 22,0 8 7 1 22,0 1 1 1 22,1 9 8 1 22,0 13 7 1 22,1 0 0 0
j200101_4.sm,4,4,1 0 0 8 2 3 4 5 18 19 20 21,0 17 9 9 17 16 15 11 10 9 8 7 6,0 8 4 6 14 13 11 8 7 6,0 10 10 3 10 8 7,0 4 4 3 12 9 6,0 6 3 1 22,0 5 3 1 22,0 12 8 1 22,0 6 3 1 22,0 12 7 1 22,0 7 5 1 22,0 13 10 1 22,0 4 3 1 22,0 18 9 1 22,1 14 7 1 22,0 7 5 1 22,1 15 8 1 22,0 1 1 1 22,0 9 6 1 22,0 5 5 1 22,0 15 10 1 22,1 0 0 0
j200101_5.sm,4,4,1 0 0 13 2 3 11 12 13 14 15 16 17 18 19 20 21,0 12 8 5 10 9 8 7 4,0 18 10 3 6 5 4,0 14 9 1 22,0 6 6 1 22,0 14 8 1 22,0 5 4 1 22,1 6 4 1 22,0 2 1 1 22,0 13 10 1 22,1 6 6 1 22,0 3 3 1 22,0 11 7 1 22,0 10 10 1 22,0 10 7 1 22,0 10 6 1 22,0 7 4 1 22,0 11 7 1 22,0 4 4 1 22,0 8 6 1 22,0 14 9 1 22,1 0 0 0
j200101_6.sm,4,4,1 0 0 14 2 3 4 5 6 13 14 15 16 17 18 19 20 21,0 10 8 3 12 11 9,0 15 8 2 9 8,1 12 9 2 8 7,0 3 3 1 10,0 8 6 1 7,1 3 2 1 22,0 7 7 1 22,0 13 7 1 22,0 13 7 1 22,0 6 5 1 22,0 5 4 1 22,0 12 9 1 22,0 12 9 1 22,0 10 8 1 22,0 12 8 1 22,0 8 5 1 22,0 15 8 1 22,0 7 7 1 22,0 12 9 1 22,0 9 9 1 22,1 0 0 0
j200101_7.sm,4,4,1 0 0 16 2 3 4 5 10 11 12 13 14 15 16 17 18 19 20 21,0 9 7 2 9 6,1 1 1 1 8,0 10 5 1 7,1 12 6 1 6,0 9 8 1 22,0 13 10 1 22,0 4 2 1 22,0 8 4 1 22,0 2 2 1 22,0 14 8 1 22,0 6 5 1 22,0 4 4 1 22,0 4 3 1 22,0 18 10 1 22,0 18 10 1 22,0 5 3 1 22,0 18 9 1 22,0 5 5 1 22,0 15 10 1 22,0 9 6 1 22,1 0 0 0
j200101_8.sm,4,4,1 0 0 10 2 3 4 5 6 7 8 9 10 21,0 5 5 7 20 19 17 14 13 12 11,0 6 3 6 18 16 15 14 12 11,0 10 9 5 16 15 14 12 11,0 8 6 4 14 13 12 11,0 4 3 3 17 13 12,0 8 4 3 16 13 11,1 8 6 2 15 12,0 13 10 1 13,0 3 3 1 11,0 11 10 1 22,0 8 7 1 22,0 6 6 1 22,0 13 9 1 22,0 6 6 1 22,0 7 6 1 22,1 3 2 1 22,0 7 6 1 22,0 14 8 1 22,0 18 9 1 22,0 10 5 1 22,1 0 0 0
j200101_9.sm,4,4,1 0 0 15 2 3 4 5 6 7 13 14 15 16 17 18 19 20 21,0 12 6 1 12,0 9 8 1 11,1 12 6 1 10,0 10 6 1 9,0 6 3 1 8,0 8 7 1 8,0 2 2 1 22,0 8 7 1 22,0 15 10 1 22,0 12 8 1 22,0 8 4 1 22,0 14 9 1 22,1 8 7 1 22,0 1 1 1 22,0 6 3 1 22,0 14 7 1 22,0 6 6 1 22,0 2 1 1 22,0 9 6 1 22,0 19 10 1 22,1 0 0 0
j200101_10.sm,4,4,1 0 0 11 2 3 4 5 6 7 8 18 19 20 21,0 2 1 5 17 16 12 11 10,0 6 5 4 15 12 11 9,0 14 9 3 12 11 10,0 10 5 3 14 10 9,0 8 5 1 13,0 2 1 1 9,0 1 1 1 9,1 2 2 1 22,0 5 3 1 22,0 11 10 1 22,1 4 3 1 22,0 8 8 1 22,0 8 4 1 22,0 14 10 1 22,0 18 10 1 22,0 10 8 1 22,0 6 5 1 22,0 7 4 1 22,0 5 3 1 22,0 11 7 1 22,1 0 0 0
