实例ID,最优目标值（Project Total Cost）,最优工作包划分
j301_1,1554.8589477448634,"I1:[1]; I10:[10]; I2:[2]; A1:[4,5,6,9,11,12,16,17,27,29,30,31]; I3:[3]; I24:[24]; A2:[7,8,14,15,22,23,25,26,28]; A3:[13,18,20,21]; I19:[19]; I32:[32]"
j301_2,1600.1824462350949,"I1:[1]; I2:[2]; A1:[3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22]; I25:[25]; I27:[27]; I23:[23]; A2:[24,26,28,29,31]; I30:[30]; I32:[32]"
j301_3,1758.9910120425293,"I1:[1]; A1:[2,3,4,6,10,13,14,15,21,22,31]; I7:[7]; A4:[11,12,16,20,23,24]; I5:[5]; I19:[19]; A2:[8,18,26,30]; A3:[9,17,25,27]; I28:[28]; I29:[29]; I32:[32]"
j301_4,1914.4777948279107,"I1:[1]; I2:[2]; I11:[11]; A1:[3,4,6,7,8,9,12,14,15,20,21,22,27]; I5:[5]; I29:[29]; A2:[10,13,16,17,18,19,24,25,26,28,30,31]; I23:[23]; I32:[32]"
j301_5,1761.630284316693,"I1:[1]; I16:[16]; I10:[10]; A1:[2,3,4,5,6,7,8,9,18]; I24:[24]; A2:[11,12,13,14,15,19,20,21,31]; I23:[23]; A3:[17,22,29]; I28:[28]; A4:[25,26,27,30]; I32:[32]"
j301_6,1735.2734145319087,"I1:[1]; I10:[10]; I27:[27]; I11:[11]; I28:[28]; A1:[2,3,5,6,21,23,24,25,26,29,30,31]; I4:[4]; A2:[7,8,9,12,13,14,15,16,17,18,19,20,22]; I32:[32]"
j301_7,1549.2056307622786,"I1:[1]; A1:[2,3,5,6,7,11,12]; I16:[16]; I4:[4]; I13:[13]; I15:[15]; I20:[20]; A2:[8,9,10,14,18,19,21,22,24,31]; A3:[17,23,25,26,27,28,29,30]; I32:[32]"
j301_8,1771.0992029860872,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,19,21]; I23:[23]; I17:[17]; I31:[31]; I13:[13]; I27:[27]; A2:[20,22,24,25,26,28,29,30]; I32:[32]"
j301_9,1819.0015221925432,"I1:[1]; A1:[2,5,6,7,8,9,11]; I3:[3]; I14:[14]; A2:[4,10,12,13,15,17,20,21,22,24]; I16:[16]; A3:[18,19,23,31]; I27:[27]; A4:[25,26,28,30]; I29:[29]; I32:[32]"
j301_10,1808.575593752856,"I1:[1]; A2:[3,5,8,10]; A1:[2,6,7,9]; I4:[4]; I13:[13]; A3:[11,12,14,15,16,19,20,21,22,24]; A4:[17,18]; I29:[29]; I23:[23]; I27:[27]; A5:[25,26,28,30,31]; I32:[32]"
j302_1,1825.0813658629277,"I1:[1]; A1:[2,3,4,5,6,7,8]; I14:[14]; I9:[9]; A2:[10,11,12,13,15,16,17]; I19:[19]; A3:[18,20,21,22,23,24,25,26,28]; I27:[27]; I31:[31]; A4:[29,30]; I32:[32]"
j302_2,1624.0624003960934,"I1:[1]; I4:[4]; A1:[2,3,5,8,9]; I6:[6]; A2:[7,10,11]; I12:[12]; I15:[15]; I19:[19]; A3:[13,14,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31]; I32:[32]"
j302_3,1495.4265291081908,"I1:[1]; I11:[11]; A1:[2,3,4,5,8,9,19,25,29,31]; I6:[6]; I13:[13]; I30:[30]; A2:[7,10,12,14,15,16,17,18,21,22,23,24,26,27,28]; I20:[20]; I32:[32]"
j302_4,1500.1962383971565,"I1:[1]; I24:[24]; I30:[30]; A1:[2,13,20,22,23,25,26,27,28,29,31]; I3:[3]; I19:[19]; A2:[4,5,6,7,8,9,10,11,15,16,17,18,21]; I12:[12]; A3:[14]; I32:[32]"
j302_5,1554.3937655172313,"I1:[1]; I5:[5]; I7:[7]; A1:[2,3,4,8,11]; I10:[10]; I6:[6]; A2:[9,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31]; I25:[25]; I32:[32]"
j302_6,1835.9219183080168,"I1:[1]; A1:[2]; I7:[7]; I3:[3]; I11:[11]; A2:[4,6,13,20,30,31]; I5:[5]; A3:[8,9,10,12,14,15,16,23,24,25,26,27,29]; I28:[28]; A4:[17,18,19,21,22]; I32:[32]"
j302_7,1538.246658886621,"I1:[1]; I2:[2]; I5:[5]; A1:[3,4,6,7,8,9,10,18,19,21]; I12:[12]; I11:[11]; A2:[13,14,15,16,17,20,22,23,24,25,26,27,28,30,31]; I29:[29]; I32:[32]"
j302_8,1882.3985673111317,"I1:[1]; A1:[2]; I4:[4]; I3:[3]; A2:[5,6,7,8,10,11,12]; I9:[9]; A3:[13,14,15,18,19,21,23,26,27,31]; I16:[16]; I20:[20]; A4:[17,22,24,25,28,29,30]; I32:[32]"
j302_9,1851.4160562648833,"I1:[1]; A1:[2,3,4,5,6,7,8,9,12,19,21]; I11:[11]; I10:[10]; I13:[13]; I30:[30]; A2:[14,15,16,17,18,20,22,23,24,26,29,31]; I27:[27]; A3:[25,28]; I32:[32]"
