Instance,Optimal value,Optimal solution
j200101_1,1000.5455306856338,I1:[1]; I17:[17]; I15:[15]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 14 16 18 19 20 21]; I22:[22];
j200101_2,1095.0961933284877,I1:[1]; I6:[6]; A1:[2 3 4 5 7]; A2:[8 9 10 11 12 13 14 15 16 17 18 20 21]; I19:[19]; I22:[22];
j200101_3,932.6510080968422,I1:[1]; I17:[17]; I20:[20]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21]; I22:[22];
j200101_4,1167.5231799519638,I1:[1]; A1:[2 3 4 5 13 18 19 20 21]; I15:[15]; I17:[17]; A2:[6 7 8 9 10 11 12 14 16]; I22:[22];
j200101_5,1142.0396301187552,I1:[1]; I11:[11]; A1:[2 3 13 14 15 16 17 18 19 20 21]; I8:[8]; A2:[4 5 6 7 9 10 12]; I22:[22];
j200101_6,1177.5453956113647,I1:[1]; A1:[2 3 5 6 13 14 15 16 18 20 21]; I4:[4]; I7:[7]; A2:[8 9 10 11 12 17 19]; I22:[22];
j200101_7,1140.8855921503157,I1:[1]; I3:[3]; I5:[5]; A1:[2 4 10 12 13 14 17 19 21]; A2:[6 7 8 9 11 15 16 18 20]; I22:[22];
j200101_8,1062.3585171453833,I1:[1]; I8:[8]; A1:[2 3 4 5 6 7 9 10 18 21]; I17:[17]; A2:[11 12 13 14 15 16 19 20]; I22:[22];
j200101_9,1123.6027337279243,I1:[1]; I4:[4]; I14:[14]; A1:[2 3 5 6 7 15 16 17 18 19 20]; A2:[8 9 10 11 12 13 21]; I22:[22];
j200101_10,976.8530566685259,I1:[1]; A1:[2 3 4 5 6 7 8 14 17 18 19 20 21]; I9:[9]; I12:[12]; A2:[10 11 13 15 16]; I22:[22];
j200201_1,1057.4391253617712,I1:[1]; A1:[2 3 4 5 6 7 8 9 11 20 21]; I10:[10]; I16:[16]; A2:[12 13 15 17]; A3:[14 18 19]; I22:[22];
j200201_2,965.6382007755865,I1:[1]; I19:[19]; I2:[2]; A2:[6 7 8 9 13 14 17 18 20 21]; A1:[3 4 5 10 11 12 15 16]; I22:[22];
j200201_3,1340.984237445305,I1:[1]; A1:[2 3 5 9 11 15]; I8:[8]; A2:[4 6 7 10 12]; I17:[17]; A3:[13 14 16 18 19 20 21]; I22:[22];
j200201_4,1115.0032713779947,I1:[1]; A1:[2 3 4 5 6 7 11 16 19 21]; I18:[18]; I10:[10]; A2:[8 9 13 14 15 17 20]; A3:[12]; I22:[22];
j200201_5,1160.0768707414986,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 13 15 21]; I16:[16]; A2:[12 14 17 19 20]; I18:[18]; I22:[22];
j200201_6,1105.1426073798073,I1:[1]; I7:[7]; I4:[4]; A1:[2 3 5 8 9 10 11 12 18 19 20 21]; A2:[6 13 14 15 16 17]; I22:[22];
j200201_7,1025.8360238960706,I1:[1]; A1:[2 3 9 11 12 13 14 15 16 17 19 20 21]; I18:[18]; I8:[8]; A2:[4 5 6 7 10]; I22:[22];
j200201_8,1005.591816111779,I1:[1]; A2:[3]; I4:[4]; I5:[5]; A1:[2 8 9 10 13 14 20]; A3:[6 7 11 12 15 16 17 18 19 21]; I22:[22];
j200201_9,972.9992068284926,I1:[1]; I3:[3]; A1:[2 4 5 7 8 9 21]; I14:[14]; A2:[6 10 11 12 13 15 16 17 18 19 20]; I22:[22];
j200201_10,1193.9899743664578,I1:[1]; A1:[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20]; I17:[17]; I21:[21]; I22:[22];
j200301_1,926.2562341104178,I1:[1]; I12:[12]; A1:[2 3 4 8 9 10 11 13 14 15 16 17 18 19 20 21]; I5:[5]; A2:[6 7]; I22:[22];
j200301_2,1066.6276078778294,I1:[1]; A1:[2 3 4 5 6 7 8 10 11 13 14 17]; I9:[9]; I20:[20]; A2:[12 15 16 18 19 21]; I22:[22];
j200301_3,1343.002103895399,I1:[1]; A1:[2 3 4 6 7 13]; I5:[5]; A2:[8 10 12 21]; I9:[9]; A3:[11 14 15 16 17 18 19 20]; I22:[22];
j200301_4,1092.1116739834347,I1:[1]; I7:[7]; A1:[2 3 4 5 6 9 10 14 20]; I13:[13]; A2:[8 11 17 18 19 21]; A3:[12 15 16]; I22:[22];
j200301_5,1189.3883554572296,I1:[1]; I12:[12]; A1:[2 3 4 5 6 7 8 9 10 13 16 17 19 21]; I11:[11]; A2:[14 15 18 20]; I22:[22];
j200301_6,1080.896117928361,I1:[1]; A1:[2 3 4 5 8 9 16 17 18 19 20 21]; I11:[11]; I15:[15]; A2:[6 7 10 12 13 14]; I22:[22];
